Keyword Text,Competition,Competition Index,Search Volume,Low Top Page Bid,High Top Page Bid
home groups,LOW,0,74000,1.15,3.52
group home,LOW,9,33100,1.37,5.43
home caring,LOW,26,33100,2.57,9.0
our homes,LOW,1,2400,0.92,2.94
home group,LOW,2,880,0.69,3.34
home for disabled,MEDIUM,35,880,1.46,5.18
group homes for disabled,LOW,25,590,1.66,5.17
group homes for mentally disabled,MEDIUM,35,320,1.37,4.29
in home disability care,MEDIUM,45,260,2.08,7.08
group home care,LOW,17,260,2.47,11.77
homes for mentally disabled,MEDIUM,39,210,0.96,3.61
a group home,LOW,6,170,0.86,3.04
group homes for intellectually disabled,LOW,19,110,1.25,4.38
disable home health care,MEDIUM,38,90,2.09,6.44
care homes for mental health,LOW,29,90,2.34,5.9
disability home care,LOW,24,70,2.1,7.98
disability care homes,MEDIUM,41,70,2.06,7.22
the group home,LOW,2,70,,
care home groups,LOW,7,50,0.65,3.51
home care group,LOW,10,40,2.29,7.76
care homes for mentally ill,MEDIUM,49,40,2.01,5.03
home care for mentally disabled,MEDIUM,45,40,2.52,4.98
group home group,LOW,2,30,,
home for intellectually disabled,LOW,5,30,,
group homes for,LOW,15,30,1.08,5.71
care home for mentally disabled,MEDIUM,34,20,2.38,5.34
care group home care,LOW,14,20,,
home health group,LOW,12,20,2.32,10.76
group homes in,LOW,3,20,,
group home health care,LOW,27,20,1.67,5.41
care group homes,LOW,5,20,,
care at home group,UNSPECIFIED,0,10,,
the care group homes,UNSPECIFIED,0,10,,
on home group,LOW,0,10,,
group of homes,LOW,1,10,,
home group homes,LOW,11,10,,
our home health care,LOW,29,10,2.55,9.24
the home care group,LOW,19,10,,
home group care,LOW,2,10,,
care homes for mentally disabled,MEDIUM,39,10,1.65,7.45
home from home group,LOW,0,10,,
in home care group,LOW,15,10,2.9,9.14
group home intellectual disability,LOW,6,10,,
home health care group,LOW,19,10,,
group home in,LOW,5,10,,
intellectual disability home care,LOW,29,10,,
health care home group,UNSPECIFIED,0,10,,
home disability care,LOW,10,10,,
home health for disabled,MEDIUM,40,10,1.94,5.4
health care homes group,LOW,0,10,,
the caring homes group,LOW,10,10,,
about group homes,UNSPECIFIED,0,10,,
